f_max,n_eff
194541717168263.1,1.5941687524980839
194694023163684.4,1.5980977105439949
194572178367347.34,1.5909036696939414
194541717168263.1,1.6030878935010935
194541717168263.1,1.5907676903836996
194663561964600.12,1.5915995165160237
194541717168263.1,1.603252818770539
194683869430656.3,1.6021701704685825
194541717168263.1,1.5921670296871706
194541717168263.1,1.597631085118694
194541717168263.1,1.5973091404515738
194541717168263.1,1.5914748266921077
194541717168263.1,1.5981207001496243
194694023163684.4,1.5942017384540421
194562024634319.28,1.5909044607599485
194551870901291.2,1.5902111086750013
194714330629740.56,1.591020850254013
194663561964600.12,1.59099948528632
194663561964600.12,1.5974023057308613
194541717168263.1,1.5938259451137904
194531563435235.0,1.596813817204053
194683869430656.3,1.596893013964651
194694023163684.4,1.5965284157510524
194541717168263.1,1.593172612654935
194663561964600.12,1.5908629748895111
194541717168263.1,1.600220258123704
194724484362768.66,1.5916299897045318
194541717168263.1,1.5962546948041136
194724484362768.66,1.5945186288912303
194663561964600.12,1.595444083840945
194724484362768.66,1.5942901223051034
194541717168263.1,1.592561993864398
194643254498543.97,1.592684917219983
194683869430656.3,1.597800318406506
194562024634319.28,1.6005768342285829
194683869430656.3,1.6001603633018808
194541717168263.1,1.591084035058315
194683869430656.3,1.592213960800005
199679506080475.12,1.5058164794428317
199638891148362.78,1.518862812647851
199649044881390.88,1.5022427753944843
199649044881390.88,1.5037199459652562
199638891148362.78,1.5137132107484492
199679506080475.12,1.5067083592315906
199781043410756.0,1.5065971746960345
199679506080475.12,1.5028053554876686
199649044881390.88,1.5073614078807749
199649044881390.88,1.5030887834853937
199811504609840.25,1.5063879138413043
199689659813503.22,1.5078682484325268
199791197143784.1,1.5003369638764223
199689659813503.22,1.5047183195748837
199791197143784.1,1.5042403517379606
199791197143784.1,1.5011855775900476
199638891148362.78,1.5007903603775896
199638891148362.78,1.5183507093650672
199638891148362.78,1.5071702513587817
199638891148362.78,1.5000993526466622
199638891148362.78,1.51208776967683
199679506080475.12,1.5031311050326812
199720121012587.47,1.515870195416259
199679506080475.12,1.5068789899456447
199791197143784.1,1.5029901513910513
199801350876812.16,1.5023393257473674
199638891148362.78,1.5043041421793735
199638891148362.78,1.5028542885475888
199638891148362.78,1.5050027469293308
199750582211671.75,1.5071013341627977
199781043410756.0,1.5086836922279077
199638891148362.78,1.5063935364131638
199781043410756.0,1.5048285426116481
199679506080475.12,1.5046997308384353
199638891148362.78,1.5008468565191084
199638891148362.78,1.5069291797549138
199750582211671.75,1.5017711018842923
199638891148362.78,1.5057976519205136
199730274745615.56,1.5047183244590794
199638891148362.78,1.5021754788472168
199649044881390.88,1.50390205115948
199811504609840.25,1.5046338770338576
199628737415334.7,1.5044186427529112
199679506080475.12,1.5031476867008182
199801350876812.16,1.5117685411929367
199811504609840.25,1.5140189949234972
199638891148362.78,1.5031252132262367
199679506080475.12,1.5083535816462867
199638891148362.78,1.5123498133332316
199811504609840.25,1.5039199465285775
199638891148362.78,1.5036315384945471
199628737415334.7,1.5077659953853901
199638891148362.78,1.5025784418566117
199791197143784.1,1.5022693055226801
199811504609840.25,1.507671556185853
199801350876812.16,1.5048530704444163
199628737415334.7,1.5138157772338163
199628737415334.7,1.5028353862619528
199791197143784.1,1.5035592796256017
199638891148362.78,1.5150570271146175
199801350876812.16,1.5068099039417828
199740428478643.66,1.5000175999612486
199801350876812.16,1.5134600159654787
199649044881390.88,1.5055125372837201
199811504609840.25,1.5025420114757844
199649044881390.88,1.503191819503042
199638891148362.78,1.5047675603402044
